file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Jetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\ui\page\LoginFragment.java,com.kunminx.puremusic.ui.page.LoginFragment$ClickProxy,login/0,false,121,4,4,0,4,3,7,9,1,1,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Jetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\ui\page\LoginFragment.java,com.kunminx.puremusic.ui.page.LoginFragment$ClickProxy,back/0,false,117,1,1,0,1,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Jetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\ui\view\PlayPauseDrawable.java,com.kunminx.puremusic.ui.view.PlayPauseDrawable$Anonymous2,onAnimationEnd/1[com.kunminx.puremusic.ui.view.Animator],false,123,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Jetpack-MVVM-Best-Practice\architecture\src\main\java\com\kunminx\architecture\data\response\ResponseStatus.java,com.kunminx.architecture.data.response.ResponseStatus,getSource/0,false,51,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Jetpack-MVVM-Best-Practice\architecture\src\main\java\com\kunminx\architecture\data\response\ResponseStatus.java,com.kunminx.architecture.data.response.ResponseStatus,getResponseCode/0,false,43,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Jetpack-MVVM-Best-Practice\architecture\src\main\java\com\kunminx\architecture\data\response\ResponseStatus.java,com.kunminx.architecture.data.response.ResponseStatus,"ResponseStatus/3[java.lang.String,boolean,java.lang.Enum<com.kunminx.architecture.data.response.ResultSource>]",true,38,1,2,2,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Jetpack-MVVM-Best-Practice\architecture\src\main\java\com\kunminx\architecture\data\response\ResponseStatus.java,com.kunminx.architecture.data.response.ResponseStatus,isSuccess/0,false,47,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Jetpack-MVVM-Best-Practice\architecture\src\main\java\com\kunminx\architecture\data\response\ResponseStatus.java,com.kunminx.architecture.data.response.ResponseStatus,"ResponseStatus/2[java.lang.String,boolean]",true,33,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Jetpack-MVVM-Best-Practice\architecture\src\main\java\com\kunminx\architecture\data\response\ResponseStatus.java,com.kunminx.architecture.data.response.ResponseStatus,ResponseStatus/0,true,30,0,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Jetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\ui\page\MainFragment.java,com.kunminx.puremusic.ui.page.MainFragment,initViewModel/0,false,60,4,2,0,2,1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,4,0,false
